Mes,Ano,lat,lon,Codigo,regiao,uf,Umidade média mensal,Temperatura média mensal
9,2022,-19.605833330000248,-46.94972221000001,A505,SE,MG,51.56666666666667,22.511944444444435
10,2022,-19.605833330000205,-46.9497222099999,A505,SE,MG,57.923780487804876,23.279115853658524
11,2022,-19.605833330000067,-46.9497222099999,A505,SE,MG,66.58498023715416,22.19071146245059
12,2022,-19.605833330000262,-46.949722210000125,A505,SE,MG,77.44489247311827,21.634274193548368
10,2022,-12.554999999999987,-55.722777770000235,A904,CO,MT,78.56281407035176,25.521608040201016
11,2022,-12.55500000000009,-55.72277776999977,A904,CO,MT,68.88135593220339,25.776101694915244
12,2022,-12.555000000000092,-55.7227777699998,A904,CO,MT,84.83025210084034,24.210252100840314
1,2022,-20.71500000000012,-44.86444444000062,A570,SE,MG,84.26075268817205,21.50524193548387
2,2022,-20.715000000000117,-44.86444444000059,A570,SE,MG,86.05208333333333,21.185119047619036
3,2022,-20.71500000000012,-44.86444444000062,A570,SE,MG,71.25940860215054,22.79825268817207
4,2022,-20.71500000000012,-44.864444440000646,A570,SE,MG,74.9465541490858,21.18298171589312
5,2022,-20.71500000000012,-44.86444444000062,A570,SE,MG,69.5725806451613,17.46854838709677
6,2022,-20.71500000000012,-44.86444444000065,A570,SE,MG,67.89583333333333,17.475972222222232
7,2022,-20.71500000000012,-44.86444444000062,A570,SE,MG,60.193808882907135,18.222341857335113
8,2022,-20.71500000000012,-44.86444444000064,A570,SE,MG,59.39077340569878,18.176255088195386
9,2022,-20.71500000000012,-44.864444440000625,A570,SE,MG,62.14820143884892,19.90906474820144
10,2022,-20.715000000000117,-44.864444440000575,A570,SE,MG,66.48714069591529,22.3768532526475
11,2022,-20.715000000000117,-44.86444444000052,A570,SE,MG,75.87961476725522,20.072712680577858
12,2022,-20.715000000000103,-44.86444444000005,A570,SE,MG,80.2981220657277,21.86737089201876
1,2022,-22.653578999999887,-44.04091600000084,A626,SE,RJ,82.54704301075269,23.768951612903205
2,2022,-22.653578999999837,-44.04091600000074,A626,SE,RJ,83.69196428571429,23.0733630952381
3,2022,-22.65357899999988,-44.040916000000834,A626,SE,RJ,77.98380566801619,24.1989203778677
4,2022,-22.653578999999837,-44.040916000000806,A626,SE,RJ,82.83588317107093,21.356884561891498
5,2022,-22.653578999999883,-44.04091600000084,A626,SE,RJ,80.1170928667564,18.313728129205952
6,2022,-22.653578999999837,-44.040916000000806,A626,SE,RJ,83.46787709497207,17.016480446927375
7,2022,-22.653578999999873,-44.040916000000834,A626,SE,RJ,76.39566395663957,18.293495934959356
8,2022,-22.653578999999883,-44.04091600000084,A626,SE,RJ,76.6514131897712,17.930955585464336
9,2022,-22.653578999999837,-44.040916000000806,A626,SE,RJ,78.86648122392211,17.896522948539626
10,2022,-22.653578999999862,-44.04091600000083,A626,SE,RJ,80.462482946794,21.51596180081856
11,2022,-22.653578999999837,-44.04091600000078,A626,SE,RJ,81.75393419170243,20.011158798283272
12,2022,-22.653578999999848,-44.04091600000082,A626,SE,RJ,83.25686813186813,21.807417582417575
1,2022,-21.100833329999773,-41.039444440000565,A622,SE,ES,76.83467741935483,25.887903225806465
2,2022,-21.100833329999784,-41.039444440000544,A622,SE,ES,81.61755952380952,25.34479166666666
3,2022,-21.100833329999848,-41.0394444400004,A622,SE,ES,64.13378684807256,28.369160997732425
4,2022,-21.10083332999979,-41.03944444000053,A622,SE,ES,73.641627543036,25.034898278560263
5,2022,-21.100833329999773,-41.039444440000565,A622,SE,ES,72.33602150537635,22.673655913978486
6,2022,-21.100833329999777,-41.03944444000056,A622,SE,ES,73.58194444444445,21.06333333333333
7,2022,-21.100833329999773,-41.039444440000565,A622,SE,ES,72.34677419354838,22.02795698924733
8,2022,-21.100833329999773,-41.039444440000565,A622,SE,ES,70.09677419354838,21.486021505376343
9,2022,-21.100833329999777,-41.03944444000056,A622,SE,ES,72.20277777777778,21.407916666666676
10,2022,-21.100833329999773,-41.039444440000565,A622,SE,ES,75.49596774193549,24.14610215053764
11,2022,-21.100833329999777,-41.03944444000056,A622,SE,ES,78.85555555555555,22.934444444444445
12,2022,-21.100833329999773,-41.039444440000565,A622,SE,ES,80.625,24.394086021505405
2,2022,-20.35972222000004,-47.775277769999875,A753,SE,SP,69.00980392156863,25.915686274509817
3,2022,-20.35972222000017,-47.775277770000486,A753,SE,SP,73.32065217391305,24.459239130434778
4,2022,-20.359722220000158,-47.775277770000486,A753,SE,SP,74.50972222222222,22.694722222222214
5,2022,-20.359722220000172,-47.775277770000486,A753,SE,SP,72.92183288409703,18.27506738544476
6,2022,-20.359722220000158,-47.775277770000486,A753,SE,SP,70.30041724617524,18.439638386648152
7,2022,-20.359722220000172,-47.775277770000486,A753,SE,SP,58.193548387096776,19.607930107526872
8,2022,-20.359722220000172,-47.775277770000486,A753,SE,SP,53.11290322580645,20.922715053763437
9,2022,-20.359722220000158,-47.77527777000048,A753,SE,SP,57.182451253481894,23.101392757660165
10,2022,-20.359722220000172,-47.775277770000486,A753,SE,SP,64.8099730458221,24.058355795148238
11,2022,-20.359722220000158,-47.775277770000486,A753,SE,SP,68.00973574408901,22.895549374130763
12,2022,-20.359722220000172,-47.775277770000486,A753,SE,SP,78.44623655913979,23.60470430107527
1,2022,-12.734999989999828,-60.15777777000035,A938,N,RO,80.0121293800539,24.090296495956867
2,2022,-12.734999989999832,-60.15777777000035,A938,N,RO,81.72321428571429,23.914732142857115
3,2022,-12.734999989999828,-60.15777777000035,A938,N,RO,82.4475806451613,23.6823924731183
4,2022,-12.734999989999828,-60.15777777000035,A938,N,RO,72.55416666666666,24.980833333333308
5,2022,-12.734999989999828,-60.15777777000035,A938,N,RO,60.625,23.770295698924716
6,2022,-12.734999989999828,-60.15777777000035,A938,N,RO,66.61527777777778,23.259722222222248
